comments,sentiments
keeps students in confusion,0
he is a quality teacher I have ever met,1
does not complete the work in time,0
its method is not easy to grasp,0
misses the classes,0
teacher knows how to handle the class,1
teachers' paper is not from given work,0
he clarifies all concepts related to the subject,1
he encourage us to ask as many question as possible,1
help students in all matters,1
assigns valuable tasks to the students,1
his paper is from the taught work,1
he teaches well and care well too,1
the teaching method was not good,0
teachers are often late for the lectures,0
he is the best motivator indeed,1
she rewards the deserving students,1
he takes too for too long time,2
teacher gives lengthy assignments,0
teachers are well dressed,2
we feel relaxed during his lecture due to his polite nature,1
he is soft spoken teacher,1
the lectures are a load for us,0
he teaches by examples from daily life,1
he keeps us busy with benefitting activities,1
we catch the topics easily due to his teaching method,1
teaching methodology is troublesome,0
it is good that he welcomes questions,1
"he make us fear free, helping us to learn",1
teachere tries to get us out of mark race,1
"""Concentrate on learning"" is his moto",1
his lectures are too lengthy to absorb,0
he teaches basic concepts and evaluates from advanced ones,0
"only teaching, no discussion or activity",0
he taught us very well,1
"he starts from the basic concept, worth appreciation",1
he focuses on studies,1
he takes too long lectures,0
does not pay any attention towards the students during lecturing,0
he do his work with responsibility,0
teacher treats all equal,1
he motivates to be be succesful,1
he tries to deliver lectures in the best possible way,1
the teacher taught us multiple skills,1
a teacher should persuade students to study,2
awards high grades to undeserving students,0
he is very competitive teacher,1
lectue time should not be above 45 minutes,2
he tackles and teaches the subject well,1
his lecture time seems like an investment,1
teachers should keep student engaged in class activities,2
teacher personality is impressive,1
class lectures seems wastage of tome,0
"labs are poorly designed, lagging creativity",0
hands on work lacks modern tool usage,0
teachers should try to know students' social problems,2
"I like their behaviour, the most",1
their communication is excellent,0
they scold students,0
student likes those teachers who have indepth knowledge,2
they inculcate knowledge within the students in an interesting way,1
teachers disgrade us,0
teacher deliver information in with an easy method,1
teaching method is quite systematic,1
their behaviour is disrespecting,0
a teacher should create love for the subject,2
a teacher should be encouraging,2
their communication skills are shallow,0
a good teacher never discourages,2
teacher should take all students equally,2
teachers do not know any thing about the subject,0
teachers pursuade students to learn,1
teachers make students realize their strenghts ,1
they do not treat us well,0
they indicate our weaknesses in a gentle way ,1
teachers treat us unequally,0
ours teachers kind and sympathetic,1
teachers get students involved in class discussions,1
she makes difference between a high grade and low grade student,0
he gives proper attentions towards our questions,1
they understand our problems,1
teacher ignores us and prefers a few,0
they also help us in solving academic issues,1
teachers assist students to handle campus life,1
they redicule students on their low achievements,0
she creates an encouraging and progressing scenario in the class,1
teachers discourage and scold us on getting failed in the examination,0
he has the psychy of disliking students,0
A teacher knows the strength and weakness of his Students,1
he teaches  in a way that his lectures are not burden for his Student,1
instructors lectures create stress,0
they are full of knowledge,1
teachers have effective communication skills,1
they are having patience towards students,1
attending teachers' lectures are punishment for the students.,0
he possesses rare quality of tolerance,1
great motivational skills,1
teachers expect too high from the students,0
Teachers try to understands the entire class.,1
teacher provide equall opportunity for all the students in the class,1
They create a positive environment in the class,1
his teaching methodology alows even the weakest students to comprehend and learn.,1
faculty is inexperienced,0
Huge gap between students and Teachers,0
students fear teachers,0
teachers lag in effective teaching,0
instructor evaluates fairly,1
they lag in hands on skills,0
teachers are not available for councelling hours,0
they impart outdated information,0
Lab work is not effective at all,0
punctuality: that is also good,1
excellent,1
teachers force us to complete lab task,0
That instructor compels student to complete on lab task,0
there is higher grade race,2
the teacher understands individuals student's mindset,1
they evaluate the students well,1
in terms of intraction that is very bad.,0
teachers appreciate the students,1
instructors keep friendly behaviour with the students,1
they create learning atmoshphere for the students,1
he has the highest command of the subject.,1
 they set high moral standards by being an example,1
treats everyone equally,1
creating extra work load for student at the end of each semester is their practice,0
Excellent lectures are delivered by teachers.,1
and all teachers are very punctual.,1
teachers give us all the information required to improve the performance.,1
a few instructors do not have grip on the subject,0
regular and punctual,1
they are good,1
their performance is commendable,1
way of teaching is great,1
they merely depend on slides which is not good,0
usage of slides is a easy way of teaching but still leaving some concepts unclear.,0
upto the mark and punctuality is  fine. ,1
Lecture delivery sometimes is not upto the mark,0
their interaction is also kind of boring,0
they lack in subject knowledge,0
we can interact with the teachers easily,1
the quality of teaching and stuff delivered is not good,0
"Interaction is very good,accurate supplement material is provided",1
teacher recommended books are poor,0
perfect,1
in terms of lecture delivery that is good.,1
not effective in terms of lecture delivery by all the faculty .,0
not satisfactory from teacher-student point of view,0
accurate contents are delivered,1
the standard of teaching depends on the particular teacher teaching the subject,2
not good at all,0
"it is good , depending on teacher and his experience",1
fails to describe a topic,0
the way of teaching is good,1
good teaching delivery,1
a few lacks in interaction with students,0
good and qualified teachers,1
average,0
lecture given are fruitful and teachers are punctual,1
punctuality is maintained by everyone.,1
lecture delivery not of top quality.,0
teaching staff encourages student class participation,1
all activties are good,1
they are biased,0
teaching methodology needs to be improved,2
satisfied,1
they are consious about the concept of skill development.,1
lecture delivery depends on individual teacher's knowledge,2
I am not satisfied,0
not bad.,1
way of teaching is average,0
not good,0
they are mostly available for interaction and councelling hours,1
the faculty is good,1
few lecturers do not have command on the subject and lag in the teaching,0
everything is good about the faculty members,1
I am satisfied with teaching activities in my department,1
lecture delivery needs more lucidity.,0
course content delivery is better,1
"no coordination, creating communication gap",0
Teachers are punctual and very helpful.,1
it is better to reduce the speed of  lecture delivery to understand the student better,2
WE get equal and all opportunities in all respects and fields.,1
teachers are pretty interactive.,1
teaching delivery is often good.,1
some teachers are partial in their approach,0
they are not fair in awarding marks and grades,0
Very good indeed. ,1
Teaching is excellent,1
"interaction of some faculty was not good at all,",0
good - I like the teaching style,1
one teacher showing partiality based on gender,0
very good indeed,1
Also they are unfair and baised. ,0
teaching is good some lecturers are showing partiality between south people and north people,0
CLASSES are held REGULARLY.,1
All terms are good regarding the university activities,1
need improvement,0
no teaching material is provided to us,0
recommend and referred books are of top class,1
Each topic is taught in depth.,1
Some of the teacher are inexperienced.,0
Infact many of the teachers are having no experience about the subject ,0
QUALITY BELOW AVERAGE,0
Even a single point is elaborated enough to understand. ,1
the material provided is beneficial and provides much knowledge,1
TEACHING is not appropriate,0
THEY PROVIDED HELPFUL CONTENTS FOT THE STUDENTS.,1
depth of course is less,0
Satisfied knowedgeable and proper course material,1
content does not provide deep knowledge,0
THEY PROVIDE INDEPTH ENGINEERING KNOWLEDGE,1
sometime it is irrelevent with the ongoing courses.,0
TEACHER PROVED ALL HELPFUL DURING COVID-19,1
some OF THE TEACHERS are just formality,0
very knowledgeable,1
optimum content,1
